location_id,date,product_id,sold_qty
7,08/10/2021,30,260
8,26/01/2021,16,1262
8,17/12/2021,12,1264
4,15/01/2021,28,1554
5,02/09/2021,5,1336
4,14/11/2021,27,1478
7,06/04/2021,9,1040
6,02/03/2021,2,1480
2,08/05/2021,12,67
2,29/08/2021,24,101
2,21/01/2021,2,1191
4,25/01/2021,22,1673
1,12/11/2021,30,424
9,28/10/2021,3,1807
6,14/03/2021,4,555
10,01/12/2021,17,82
7,03/12/2021,21,1870
9,27/07/2021,25,1090
4,03/11/2021,1,1
7,22/05/2021,5,167
3,19/07/2021,27,495
5,31/01/2021,25,944
1,23/10/2021,16,871
1,27/05/2021,26,403
8,23/07/2021,4,1014
1,19/01/2021,5,1060
2,11/11/2021,1,770
7,11/12/2021,30,1076
5,12/06/2021,6,1013
4,30/08/2021,30,787
4,12/01/2021,5,1839
7,22/12/2021,7,1297
4,01/05/2021,17,1963
4,07/07/2021,13,1165
7,07/11/2021,7,1338
2,13/11/2021,13,1305
4,15/04/2021,5,1470
6,19/06/2021,11,558
5,29/06/2021,21,173
2,26/02/2021,5,837
5,19/10/2021,26,699
8,15/04/2021,22,1983
9,16/07/2021,5,65
10,12/05/2021,5,751
8,09/11/2021,13,450
10,02/11/2021,28,921
3,03/09/2021,19,389
2,23/12/2021,11,1455
8,13/02/2021,1,974
10,19/02/2021,16,585
5,04/03/2021,17,500
9,31/08/2021,9,228
7,06/02/2021,22,702
10,13/10/2021,10,121
8,25/05/2021,23,1992
3,15/05/2021,13,638
3,09/02/2021,8,723
4,01/10/2021,5,1108
8,03/11/2021,30,1523
10,11/11/2021,29,884
10,27/12/2021,1,1486
8,30/04/2021,3,1848
10,23/02/2021,17,391
4,17/06/2021,13,451
9,12/12/2021,11,427
8,25/09/2021,11,1043
4,31/07/2021,19,1287
6,13/02/2021,8,1465
9,05/12/2021,12,641
1,30/11/2021,12,1271
2,30/01/2021,27,1272
1,01/12/2021,22,112
3,05/03/2021,12,929
1,04/11/2021,16,992
10,08/02/2021,30,1905
6,20/05/2021,3,1879
4,05/01/2021,24,1944
4,04/11/2021,10,1959
10,12/07/2021,9,1618
9,26/04/2021,12,1266
6,12/03/2021,24,1729
8,02/07/2021,14,744
5,05/09/2021,12,1346
8,03/08/2021,19,681
2,02/09/2021,27,1294
10,18/11/2021,20,223
2,09/02/2021,6,463
9,29/05/2021,15,951
2,22/12/2021,15,1737
10,13/06/2021,22,1477
7,23/10/2021,1,1722
5,15/02/2021,2,1277
5,03/09/2021,11,1345
1,26/06/2021,15,889
5,23/08/2021,26,1579
7,21/09/2021,21,1776
3,25/02/2021,9,680
8,20/06/2021,18,403
10,10/07/2021,5,919
3,10/03/2021,12,1172
7,17/05/2021,13,1848
3,10/05/2021,10,733
4,09/05/2021,6,1963
1,20/08/2021,24,632
9,26/09/2021,21,646
8,15/11/2021,2,1393
8,18/03/2021,20,1799
1,07/06/2021,26,1359
5,29/05/2021,29,1808
1,07/04/2021,19,443
9,24/02/2021,4,516
4,11/02/2021,12,1477
5,11/01/2021,25,892
7,09/12/2021,8,474
6,25/12/2021,17,1440
9,20/11/2021,7,1475
5,23/01/2021,19,502
9,11/03/2021,23,1446
5,30/12/2021,2,1638
10,15/10/2021,13,118
5,13/09/2021,1,878
5,28/06/2021,22,1119
10,02/01/2021,21,784
10,27/03/2021,15,1217
9,17/12/2021,22,1293
10,04/05/2021,28,870
7,10/09/2021,25,984
5,03/05/2021,12,1409
10,23/02/2021,5,1469
9,15/09/2021,10,452
5,27/08/2021,23,303
7,20/01/2021,18,1706
1,31/05/2021,25,1485
9,05/06/2021,11,1581
6,22/11/2021,2,1255
3,11/01/2021,16,1314
10,03/02/2021,30,440
1,11/09/2021,6,574
5,23/08/2021,23,1293
2,06/03/2021,11,1303
10,03/07/2021,6,1559
4,18/11/2021,11,1565
6,07/05/2021,4,495
3,15/03/2021,12,274
2,28/06/2021,26,59
1,21/07/2021,13,537
1,04/03/2021,11,1298
5,25/03/2021,9,1268
4,24/06/2021,26,1837
9,24/09/2021,7,1196
9,30/12/2021,2,775
3,09/12/2021,23,1381
6,22/10/2021,22,1857
5,29/05/2021,26,1141
6,09/01/2021,8,966
2,21/03/2021,12,805
6,08/10/2021,22,191
4,19/07/2021,22,1029
4,30/05/2021,13,156
7,01/08/2021,30,446
6,23/07/2021,2,126
4,01/02/2021,6,1545
3,18/04/2021,25,460
8,06/03/2021,16,1736
1,04/08/2021,6,1088
5,07/01/2021,6,455
1,02/01/2021,12,961
10,18/07/2021,3,1238
9,08/03/2021,15,1310
5,26/01/2021,27,1424
5,21/01/2021,17,452
5,05/02/2021,7,1151
3,20/10/2021,26,1793
8,17/05/2021,20,1703
2,22/03/2021,12,1719
2,08/12/2021,16,43
8,06/04/2021,14,1439
1,20/02/2021,23,1568
7,03/01/2021,25,1998
6,12/09/2021,9,1457
1,04/09/2021,20,825
6,03/08/2021,19,144
10,06/02/2021,20,788
9,27/04/2021,13,1958
6,08/09/2021,20,1434
2,24/03/2021,17,193
10,31/05/2021,11,659
4,30/12/2021,7,1556
4,09/02/2021,22,957
2,01/10/2021,10,1957
7,16/05/2021,1,91
6,18/02/2021,1,1319
4,03/07/2021,11,1858
2,05/06/2021,2,1577
4,11/09/2021,18,1724
10,28/02/2021,23,1687
7,26/11/2021,21,1762
4,08/02/2021,3,991
2,09/04/2021,9,941
4,12/10/2021,4,1257
5,01/05/2021,18,103
6,05/10/2021,9,117
4,25/09/2021,3,1265
7,29/03/2021,19,863
3,23/10/2021,23,591
9,24/03/2021,21,460
4,10/07/2021,21,518
2,26/12/2021,8,133
3,09/10/2021,21,713
2,27/03/2021,22,1186
10,31/01/2021,6,55
10,01/02/2021,19,1343
10,24/01/2021,7,1110
2,30/07/2021,22,1033
8,15/10/2021,19,1106
3,07/08/2021,29,316
3,04/05/2021,6,1396
7,25/07/2021,20,898
10,13/11/2021,8,1498
5,09/05/2021,18,1859
8,23/02/2021,20,984
5,12/11/2021,29,1190
2,29/04/2021,5,1578
8,25/12/2021,14,889
8,01/05/2021,28,769
2,28/09/2021,18,188
10,11/08/2021,16,1658
5,23/04/2021,11,1159
9,03/04/2021,6,1163
8,29/07/2021,9,1363
8,11/07/2021,21,126
4,30/08/2021,5,317
6,18/08/2021,30,1602
1,02/06/2021,25,1263
5,16/05/2021,10,1051
6,09/02/2021,2,1767
6,21/10/2021,12,835
5,20/09/2021,3,1977
8,18/07/2021,24,1832
1,13/11/2021,2,542
8,10/03/2021,6,17
3,18/12/2021,22,1849
9,20/09/2021,3,896
1,06/07/2021,12,1882
4,29/10/2021,21,1052
2,14/05/2021,1,644
3,23/11/2021,28,1445
9,30/04/2021,14,1620
4,22/03/2021,16,773
10,23/09/2021,7,1570
1,23/06/2021,4,798
3,23/04/2021,2,601
1,03/01/2021,2,1195
1,23/10/2021,8,1559
7,13/04/2021,24,790
3,07/08/2021,27,1580
3,02/01/2021,4,256
5,10/02/2021,10,992
7,18/02/2021,14,893
4,08/01/2021,24,1143
5,13/05/2021,13,1460
10,29/11/2021,25,1941
5,09/03/2021,12,1857
5,19/08/2021,25,1056
6,24/11/2021,10,711
8,12/06/2021,21,733
9,10/08/2021,8,1727
8,16/10/2021,20,1536
3,18/10/2021,29,1147
4,14/12/2021,2,1347
6,29/10/2021,4,374
5,11/11/2021,13,1598
1,13/04/2021,13,662
9,25/06/2021,15,486
9,10/04/2021,16,1829
8,01/05/2021,11,32
3,02/07/2021,11,1182
10,25/08/2021,16,1837
4,05/12/2021,15,1180
4,20/09/2021,24,1631
2,05/03/2021,13,830
2,02/09/2021,18,1749
2,03/10/2021,28,505
9,18/10/2021,2,22
6,22/01/2021,3,523
1,21/05/2021,3,821
1,26/08/2021,14,1877
5,21/02/2021,15,1792
2,14/01/2021,21,561
2,18/02/2021,12,1812
4,01/06/2021,14,891
7,07/04/2021,28,1055
2,25/10/2021,30,961
2,29/09/2021,6,218
5,08/06/2021,18,933
3,28/10/2021,4,1618
9,05/07/2021,11,1048
6,25/06/2021,13,221
6,25/05/2021,21,493
8,30/09/2021,16,1024
10,10/09/2021,14,1554
10,18/01/2021,18,705
9,05/05/2021,29,1679
7,21/10/2021,19,665
8,08/07/2021,25,1363
8,04/08/2021,7,1092
5,06/05/2021,13,254
4,22/09/2021,2,1689
5,16/08/2021,13,829
1,11/01/2021,19,1650
2,11/01/2021,10,356
8,23/08/2021,19,1353
9,21/10/2021,13,1487
3,21/02/2021,11,849
2,27/07/2021,10,312
2,01/09/2021,4,1151
10,02/01/2021,3,1614
5,04/05/2021,25,1024
8,02/08/2021,8,1188
6,21/02/2021,27,850
9,05/10/2021,12,77
9,01/08/2021,20,1557
2,28/05/2021,22,732
5,21/09/2021,5,1689
3,16/02/2021,21,1725
4,27/06/2021,25,260
4,17/09/2021,1,284
2,24/10/2021,5,788
9,21/08/2021,7,264
4,07/02/2021,12,73
1,30/04/2021,23,326
5,24/10/2021,13,916
10,12/08/2021,25,491
5,15/10/2021,25,518
7,06/06/2021,24,440
10,03/09/2021,20,1210
6,19/09/2021,6,1054
1,07/12/2021,20,79
1,23/10/2021,24,157
4,06/09/2021,15,1682
10,11/05/2021,25,524
1,25/03/2021,21,1663
5,27/11/2021,30,1148
1,24/10/2021,19,1569
9,01/07/2021,10,1563
2,13/07/2021,27,745
5,29/01/2021,9,803
8,24/07/2021,18,1711
7,27/07/2021,29,262
10,12/11/2021,14,1648
3,03/05/2021,4,669
10,23/11/2021,15,738
8,04/11/2021,9,444
8,07/05/2021,9,1610
7,03/12/2021,11,1457
4,07/07/2021,17,640
4,29/04/2021,14,887
6,10/02/2021,24,510
7,09/03/2021,26,580
8,27/10/2021,6,655
3,21/07/2021,7,1618
10,25/03/2021,3,1096
3,18/07/2021,2,572
3,14/03/2021,29,1618
4,28/01/2021,27,1996
9,26/07/2021,5,1914
3,14/10/2021,10,332
3,06/02/2021,19,684
5,24/12/2021,20,144
9,17/02/2021,26,214
4,26/05/2021,4,626
2,04/09/2021,1,1535
9,17/11/2021,16,1088
3,02/07/2021,11,1056
2,26/05/2021,27,1865
2,11/11/2021,12,1675
1,27/04/2021,15,312
6,18/05/2021,7,43
9,30/08/2021,6,1970
1,18/12/2021,9,323
5,12/11/2021,12,161
9,18/12/2021,20,1664
3,31/07/2021,19,1249
3,22/05/2021,4,1080
6,19/05/2021,2,798
4,12/09/2021,3,296
3,09/12/2021,5,1958
6,25/05/2021,7,1984
10,01/03/2021,15,1205
3,05/12/2021,19,1713
9,03/04/2021,8,1793
4,09/03/2021,14,1715
4,27/02/2021,4,987
8,01/11/2021,9,753
2,15/12/2021,11,1007
8,09/12/2021,18,487
2,23/09/2021,25,453
6,30/08/2021,7,171
9,08/10/2021,9,1291
8,06/09/2021,6,151
6,03/12/2021,5,705
9,10/10/2021,13,789
6,22/05/2021,15,706
3,18/11/2021,10,1934
3,21/02/2021,10,1376
5,14/05/2021,14,1345
7,19/08/2021,28,1863
1,10/09/2021,17,1982
1,22/11/2021,29,425
6,19/11/2021,8,905
4,08/11/2021,26,1828
10,14/01/2021,17,1353
1,12/10/2021,13,1681
5,08/08/2021,6,1741
1,07/11/2021,17,28
2,16/08/2021,11,390
1,19/09/2021,24,1171
8,28/05/2021,2,1940
1,01/03/2021,16,185
9,10/03/2021,28,203
3,15/03/2021,4,1696
2,22/08/2021,13,531
7,06/05/2021,16,973
8,30/08/2021,19,446
10,31/12/2021,6,639
6,07/11/2021,23,1899
5,11/02/2021,15,1644
8,01/11/2021,11,1775
10,18/05/2021,30,1276
7,30/01/2021,21,1111
3,10/05/2021,23,1376
1,03/02/2021,4,1395
9,29/05/2021,8,642
7,10/01/2021,22,1684
8,30/06/2021,9,1774
6,17/05/2021,20,1625
5,26/04/2021,16,51
10,23/07/2021,7,1433
1,13/05/2021,3,316
6,11/11/2021,12,540
10,08/09/2021,15,1066
3,03/09/2021,1,1048
4,03/02/2021,22,1378
3,04/12/2021,27,605
6,16/12/2021,3,1618
9,02/01/2021,5,1570
1,12/05/2021,21,579
5,18/08/2021,9,1119
9,03/05/2021,8,351
9,28/12/2021,23,1931
6,14/01/2021,3,281
5,28/09/2021,27,834
3,08/06/2021,27,640
4,21/03/2021,2,671
6,05/03/2021,3,170
10,09/12/2021,16,1020
7,05/08/2021,19,1955
4,06/10/2021,10,1858
5,14/08/2021,10,1593
4,06/12/2021,22,1599
8,09/01/2021,21,61
2,05/05/2021,11,792
8,22/08/2021,11,294
9,07/10/2021,14,694
1,17/09/2021,15,1955
3,27/10/2021,16,71
2,02/11/2021,19,1569
2,01/06/2021,23,275
7,24/11/2021,29,699
6,17/09/2021,10,498
5,26/11/2021,8,1932
3,30/05/2021,28,1521
1,30/06/2021,19,1710
4,09/01/2021,21,1730
6,25/11/2021,4,489
4,10/08/2021,10,742
3,14/04/2021,30,1956
2,13/10/2021,26,1467
9,30/09/2021,11,83
5,19/05/2021,23,220
5,13/10/2021,1,790
8,31/05/2021,15,1358
7,08/09/2021,14,205
6,02/09/2021,23,1491
6,06/12/2021,21,1074
8,23/07/2021,21,615
2,30/08/2021,29,354
6,01/08/2021,29,1306
6,14/08/2021,7,1720
10,04/02/2021,3,926
7,31/12/2021,2,1619
9,06/08/2021,4,769
3,18/03/2021,26,1171
2,11/06/2021,18,1158
10,16/03/2021,1,1515
10,29/10/2021,13,605
1,08/01/2021,6,608
10,30/07/2021,15,870
1,18/06/2021,17,500
7,25/11/2021,12,1479
8,23/01/2021,28,1272
5,28/11/2021,6,81
1,26/04/2021,7,516
4,01/06/2021,13,443
6,02/11/2021,1,336
4,10/07/2021,26,919
1,14/01/2021,1,1462
5,13/08/2021,12,1675
5,27/06/2021,12,191
9,07/04/2021,20,1470
9,06/09/2021,30,1619
4,29/06/2021,26,1422
9,12/02/2021,3,1822
2,01/11/2021,12,1810
1,27/12/2021,17,1135
5,29/07/2021,5,1386
8,10/07/2021,9,206
10,08/10/2021,21,1521
2,30/03/2021,20,585
8,04/07/2021,22,1011
9,25/07/2021,3,1122
8,19/06/2021,18,188
5,25/06/2021,1,4
1,28/02/2021,9,275
4,04/08/2021,12,1342
6,12/05/2021,24,744
3,28/12/2021,30,432
6,01/06/2021,5,44
8,11/12/2021,5,728
6,14/06/2021,19,134
9,13/08/2021,27,1206
3,04/04/2021,28,810
7,14/09/2021,20,1743
2,08/03/2021,16,1765
6,23/11/2021,13,1211
4,01/09/2021,22,218
4,06/06/2021,9,897
6,06/09/2021,15,1949
4,09/05/2021,28,1349
10,21/06/2021,19,1597
10,11/02/2021,19,1070
9,08/07/2021,11,1816
10,26/10/2021,6,1310
1,16/08/2021,20,1187
6,12/12/2021,30,738
2,13/10/2021,27,1473
2,04/06/2021,26,875
4,18/08/2021,5,204
4,15/06/2021,25,452
7,21/08/2021,25,1604
5,12/12/2021,26,279
5,21/09/2021,3,1773
2,20/04/2021,2,1524
2,26/10/2021,8,1870
3,18/01/2021,23,456
8,16/03/2021,28,422
1,12/07/2021,17,490
6,13/09/2021,25,906
2,26/01/2021,25,802
7,13/09/2021,26,1199
8,09/02/2021,9,964
5,27/04/2021,15,715
10,03/05/2021,13,976
7,11/07/2021,28,328
8,10/03/2021,13,1923
2,28/10/2021,26,143
6,24/06/2021,7,1858
7,08/01/2021,28,1811
8,14/09/2021,24,153
7,17/11/2021,27,1124
3,20/10/2021,26,1283
3,17/12/2021,27,1539
5,25/09/2021,23,1214
8,12/10/2021,9,1317
1,08/02/2021,2,1893
7,17/02/2021,3,1873
4,27/09/2021,27,505
5,28/09/2021,10,796
1,06/01/2021,20,841
6,20/12/2021,27,1320
9,09/08/2021,1,221
3,11/03/2021,8,1154
5,05/05/2021,26,195
8,25/04/2021,27,41
4,25/07/2021,8,516
3,19/07/2021,14,155
6,24/08/2021,27,1217
2,11/08/2021,19,1575
2,05/09/2021,25,1137
9,22/07/2021,22,1537
6,26/05/2021,5,1734
2,03/03/2021,30,1880
2,29/04/2021,8,505
3,23/06/2021,3,1225
10,30/07/2021,23,984
2,13/06/2021,19,162
3,28/05/2021,8,932
8,16/01/2021,12,524
3,01/09/2021,22,1879
9,10/05/2021,27,1982
3,02/07/2021,11,764
6,28/07/2021,12,372
6,05/08/2021,27,1409
8,03/04/2021,30,35
4,21/01/2021,26,1186
10,27/10/2021,23,1008
3,23/07/2021,13,870
6,13/09/2021,24,1039
5,10/01/2021,27,1142
7,05/04/2021,22,1535
10,01/03/2021,17,351
9,06/10/2021,7,469
8,08/12/2021,1,1499
6,09/01/2021,1,1071
2,19/09/2021,26,306
7,24/02/2021,10,615
1,26/11/2021,22,521
5,21/07/2021,1,1616
4,17/09/2021,27,165
10,15/11/2021,9,1971
3,11/01/2021,1,1211
7,30/09/2021,10,1650
2,18/12/2021,10,843
9,23/08/2021,17,208
10,06/07/2021,11,1911
2,16/03/2021,28,110
6,12/05/2021,20,1508
2,31/12/2021,23,855
8,13/07/2021,20,977
6,10/01/2021,12,1247
1,18/06/2021,27,1129
4,13/06/2021,3,396
1,19/04/2021,9,1649
3,10/03/2021,3,55
7,23/01/2021,10,1809
3,16/04/2021,3,273
10,05/02/2021,11,1915
10,13/04/2021,20,1650
2,18/11/2021,14,654
2,09/04/2021,15,276
7,07/04/2021,25,1507
1,12/10/2021,18,1696
7,08/10/2021,23,1890
2,02/06/2021,7,580
9,01/11/2021,1,1188
5,07/08/2021,4,147
5,17/04/2021,30,575
9,03/12/2021,13,1526
9,21/11/2021,28,1143
3,12/07/2021,2,1801
4,21/12/2021,5,191
6,31/01/2021,21,1218
10,04/09/2021,28,690
3,04/08/2021,27,522
5,05/12/2021,8,449
10,12/12/2021,11,1586
7,17/02/2021,18,1614
6,26/12/2021,5,1450
4,04/05/2021,12,1359
7,24/11/2021,12,1039
7,24/02/2021,16,465
5,15/03/2021,26,499
5,09/04/2021,21,742
1,14/07/2021,6,651
2,19/08/2021,13,263
3,16/03/2021,11,1172
10,23/11/2021,3,325
2,22/02/2021,10,1198
8,02/06/2021,28,568
5,09/09/2021,6,1430
8,15/10/2021,30,1305
4,08/01/2021,20,1630
9,10/03/2021,14,496
2,11/10/2021,29,1910
2,11/09/2021,12,1833
3,30/09/2021,5,1466
8,19/10/2021,24,891
4,18/06/2021,24,433
9,16/06/2021,22,1115
8,02/12/2021,5,383
6,13/06/2021,16,1563
3,20/12/2021,9,79
2,18/06/2021,2,69
1,28/11/2021,28,1753
1,06/02/2021,17,706
1,15/10/2021,13,290
6,20/04/2021,19,1988
1,28/08/2021,30,92
6,24/09/2021,18,1019
8,21/08/2021,20,780
7,02/12/2021,14,795
10,13/01/2021,6,19
8,11/01/2021,4,243
2,26/04/2021,16,972
7,13/03/2021,3,554
3,15/05/2021,10,871
9,02/05/2021,13,869
7,04/11/2021,16,1488
3,19/10/2021,26,10
8,07/09/2021,15,106
7,09/01/2021,16,417
4,18/04/2021,28,1839
4,06/02/2021,16,1795
9,13/10/2021,5,931
8,21/12/2021,9,1199
4,22/10/2021,29,1459
8,07/06/2021,1,1863
5,08/01/2021,26,1570
8,04/01/2021,11,146
2,05/03/2021,3,1890
5,19/02/2021,29,1339
10,25/01/2021,11,30
5,11/05/2021,26,1552
1,26/09/2021,3,196
8,12/11/2021,20,515
8,11/08/2021,8,622
2,26/08/2021,30,1695
9,05/01/2021,21,1186
5,30/10/2021,18,1516
10,01/11/2021,7,645
6,02/02/2021,25,1545
9,05/04/2021,30,434
8,20/08/2021,26,1205
2,03/09/2021,12,439
6,19/01/2021,29,1046
6,09/12/2021,25,1779
10,25/06/2021,6,269
10,08/04/2021,1,556
9,09/09/2021,24,498
6,10/12/2021,3,490
8,22/03/2021,20,1033
4,02/05/2021,27,1160
3,08/12/2021,16,1263
6,04/03/2021,30,455
5,09/03/2021,22,535
10,19/12/2021,6,541
6,31/03/2021,15,471
4,02/09/2021,2,1247
1,15/08/2021,19,593
10,10/09/2021,10,828
8,02/06/2021,28,1130
5,16/04/2021,26,1246
3,21/03/2021,25,1916
8,04/04/2021,27,1113
8,12/11/2021,15,1291
1,09/09/2021,25,1894
3,28/06/2021,12,1375
10,26/10/2021,28,620
2,19/07/2021,19,1430
7,27/06/2021,26,462
2,27/04/2021,5,808
2,12/07/2021,11,450
10,26/05/2021,5,1774
3,17/06/2021,24,1838
10,12/12/2021,14,1252
8,18/10/2021,9,468
5,26/08/2021,7,1835
5,28/12/2021,10,658
6,11/12/2021,21,1209
2,28/04/2021,2,1480
6,24/10/2021,25,959
3,10/02/2021,15,1623
6,20/03/2021,11,1285
4,14/04/2021,25,122
6,27/01/2021,6,1572
8,09/03/2021,2,851
6,20/05/2021,12,1637
4,12/06/2021,15,1812
8,20/09/2021,6,571
4,19/08/2021,3,875
5,24/11/2021,19,91
6,23/09/2021,14,1611
1,14/12/2021,30,152
1,14/12/2021,26,778
6,26/08/2021,29,95
8,08/11/2021,4,1266
4,08/02/2021,4,1831
2,11/04/2021,2,979
3,02/11/2021,3,688
1,15/12/2021,4,1495
2,05/06/2021,28,694
4,05/09/2021,21,797
7,26/03/2021,16,586
8,30/07/2021,14,1564
7,12/04/2021,19,1933
5,03/01/2021,21,921
2,15/04/2021,27,1641
7,30/06/2021,5,940
10,22/11/2021,23,1172
8,11/03/2021,5,1312
4,28/09/2021,11,155
3,04/12/2021,2,1588
6,19/12/2021,3,989
8,24/01/2021,1,1546
10,12/07/2021,23,1101
6,09/03/2021,12,1172
6,22/03/2021,4,879
5,03/04/2021,10,297
2,03/09/2021,9,1773
7,23/11/2021,16,1408
10,18/04/2021,17,1045
3,01/08/2021,20,1533
8,25/09/2021,14,1300
8,18/11/2021,22,1093
5,25/02/2021,24,1307
6,13/12/2021,9,1118
5,17/02/2021,23,1515
9,03/11/2021,25,254
1,12/10/2021,13,756
1,12/03/2021,12,611
3,14/01/2021,22,1773
1,18/06/2021,13,1464
10,12/02/2021,12,642
3,26/11/2021,30,452
2,09/08/2021,25,1588
9,06/03/2021,21,488
8,05/07/2021,11,1485
1,01/03/2021,27,713
7,19/01/2021,7,1209
6,13/05/2021,9,1704
9,10/09/2021,24,1168
7,15/08/2021,7,89
1,27/02/2021,11,596
1,25/03/2021,23,1368
7,11/11/2021,7,1768
5,14/04/2021,8,520
3,04/03/2021,8,795
6,01/03/2021,28,354
8,27/02/2021,24,739
9,18/03/2021,3,1792
7,21/09/2021,12,787
1,19/01/2021,3,564
8,30/01/2021,12,1057
6,12/10/2021,26,677
3,13/01/2021,17,1530
9,19/12/2021,26,50
6,14/03/2021,8,1224
2,07/03/2021,9,560
10,20/06/2021,22,568
3,23/04/2021,7,616
6,02/01/2021,6,1505
8,08/05/2021,25,488
9,22/03/2021,5,978
4,23/12/2021,19,1440
3,13/08/2021,7,1433
1,22/05/2021,13,1572
9,02/07/2021,13,381
5,22/04/2021,15,1965
1,17/11/2021,16,1043
1,12/12/2021,14,1949
10,22/03/2021,11,1285
5,17/11/2021,29,714
5,14/05/2021,14,52
9,28/10/2021,6,1824
7,30/06/2021,1,92
4,20/07/2021,6,96
9,31/01/2021,22,78
4,19/08/2021,15,877
8,09/10/2021,21,1639
3,08/11/2021,21,1625
3,04/11/2021,28,1199
5,03/11/2021,5,1400
8,22/09/2021,16,241
6,29/09/2021,24,496
8,07/06/2021,26,834
10,29/05/2021,28,221
5,11/06/2021,29,1663
8,21/09/2021,16,1680
1,07/05/2021,10,1103
1,07/10/2021,4,1642
7,16/03/2021,22,387
2,29/08/2021,27,1513
8,27/03/2021,4,695
1,20/07/2021,18,1312
1,26/06/2021,17,897
8,08/04/2021,27,785
2,25/08/2021,17,1083
2,23/09/2021,20,1411
2,25/03/2021,8,373
5,21/10/2021,5,187
6,03/10/2021,20,898
9,19/12/2021,23,1679
1,17/03/2021,24,964
4,16/12/2021,19,1583
5,30/11/2021,13,458
3,19/02/2021,22,413
1,30/03/2021,19,1803
9,27/08/2021,2,1355
7,15/10/2021,10,375
4,28/11/2021,24,221
2,26/11/2021,18,549
10,26/11/2021,7,553
9,30/07/2021,11,1649
9,25/01/2021,17,1068
4,05/08/2021,28,395
1,07/07/2021,23,509
1,06/05/2021,30,1114
3,10/09/2021,15,1547
9,20/10/2021,20,738
7,05/07/2021,7,1269
9,20/02/2021,16,596
6,04/06/2021,25,575
9,25/11/2021,5,1841
3,08/11/2021,25,60
8,12/12/2021,18,3
10,26/03/2021,16,1217
3,05/11/2021,22,1291
2,28/05/2021,5,976
4,30/05/2021,21,1175
8,28/12/2021,19,1828
5,22/03/2021,28,806
1,28/04/2021,24,861
10,19/01/2021,26,1927
2,30/08/2021,28,912
5,07/09/2021,1,102
2,18/05/2021,6,1623
2,28/04/2021,8,1273
5,18/11/2021,10,230
9,25/03/2021,6,340
5,26/10/2021,15,281
3,19/01/2021,21,534
8,03/05/2021,23,369
6,13/06/2021,20,286
7,01/02/2021,28,568
4,30/10/2021,8,30
1,26/11/2021,2,1035
5,04/08/2021,17,600
1,31/01/2021,18,360
5,18/09/2021,24,425
2,08/11/2021,16,1139
6,20/08/2021,14,1283
1,07/05/2021,25,277
6,18/01/2021,4,1707
1,22/02/2021,14,1346
8,23/08/2021,10,1415
4,09/02/2021,9,1359
